,Cluster name,Dimension,"Learning time, sec",ARI,AMI,FMI
0,MyKMeans,80,0.3161302999999993,0.028174813172506214,0.077764333252992,0.17612881302917768
1,MyKMeans,10,0.06982350000000004,0.028174813172506214,0.077764333252992,0.17612881302917768
2,MyKMeans,26,0.12385410000000086,0.028174813172506214,0.077764333252992,0.17612881302917768
3,MyKMeans,65,0.3600185000000007,0.028174813172506214,0.077764333252992,0.17612881302917768
0,KMeans,80,0.007051899999998668,0.028740697236215338,0.061604717023299664,0.20875729858482883
1,KMeans,10,0.005800199999999478,0.028693747989848657,0.06269083194103131,0.19418816886893986
2,KMeans,26,0.0057779000000000025,0.028740697236215338,0.061604717023299664,0.20875729858482883
3,KMeans,65,0.006873499999999311,0.028740697236215338,0.061604717023299664,0.20875729858482883
0,DBSCAN,80,0.009539233333333286,0.02120781900644615,0.04807548409185794,0.3152926077285485
1,DBSCAN,10,0.01777539999999907,0.02554088971968312,0.04974727460277521,0.3152926077285485
2,DBSCAN,26,0.006462666666667616,0.02120781900644615,0.04807548409185794,0.3152926077285485
3,DBSCAN,65,0.007239866666666946,0.02120781900644615,0.04807548409185794,0.3152926077285485
